"Table 14. Class of Ownership, Number of Bundled Ultimate Consumers, Revenue, Sales, and",,,,,,
                 Average Retail Price for the Residential Sector by State,,,,,,
"                 Utility, 2003",,,,,,
,,,,,,
,,Class of, Number of , Revenue , Sales ,Average Retail
Public Service Elec & Gas Co,NJ,Investor Owned," 1,772,623 "," 1,337,064 "," 12,792,377 ",10.45
Rockland Electric Co,NJ,Investor Owned," 62,315 "," 67,698 "," 703,616 ",9.62
Seaside Heights City of,NJ,Publicly Owned," 2,044 "," 1,310 "," 11,239 ",11.66
Sussex Rural Electric Coop Inc,NJ,Cooperative," 11,200 "," 13,862 "," 123,653 ",11.21
Vineland City of,NJ,Publicly Owned," 15,843 "," 16,196 "," 143,754 ",11.27
Aztec City of,NM,Publicly Owned," 2,472 "," 1,246 "," 14,449 ",8.62
"Central New Mexico El Coop, Inc",NM,Cooperative," 14,813 "," 11,192 "," 96,587 ",11.59
"Central Valley Elec Coop, Inc",NM,Cooperative," 4,664 "," 3,512 "," 51,444 ",6.83
City of Farmington,NM,Publicly Owned," 30,773 "," 17,881 "," 216,921 ",8.24
City of Gallup,NM,Publicly Owned," 8,206 "," 4,469 "," 45,531 ",9.82
City of Truth or Consequences,NM,Publicly Owned," 3,381 "," 1,937 "," 17,977 ",10.77
"Columbus Electric Coop, Inc",NM,Cooperative," 3,015 "," 2,089 "," 18,566 ",11.25
Continental Divide El Coop Inc,NM,Cooperative," 19,729 "," 9,897 "," 119,502 ",8.28
"Duncan Valley Elec Coop, Inc",NM,Cooperative, 291 , 196 ," 2,111 ",9.28
El Paso Electric Company,NM,Investor Owned," 66,280 "," 53,563 "," 492,939 ",10.87
"Farmers' Electric Coop, Inc",NM,Cooperative," 8,973 "," 5,598 "," 71,257 ",7.86
"Jemez Mountains Elec Coop, Inc",NM,Cooperative," 26,352 "," 14,353 "," 158,574 ",9.05
"Kit Carson Electric Coop, Inc",NM,Cooperative," 22,171 "," 11,826 "," 115,797 ",10.21
"La Plata Electric Assn, Inc",NM,Cooperative, 6 , 1 , 25 ,4.00
"Lea County Electric Coop, Inc",NM,Cooperative," 5,947 "," 3,609 "," 54,465 ",6.63
Los Alamos County,NM,Publicly Owned," 7,735 "," 4,715 "," 52,031 ",9.06
"Mora-San Miguel Elec Coop, Inc",NM,Cooperative," 9,921 "," 4,957 "," 46,897 ",10.57
Navajo Tribal Utility Auth,NM,Publicly Owned," 7,388 "," 3,060 "," 39,060 ",7.83
"Navopache Electric Coop, Inc",NM,Cooperative," 1,316 ", 658 ," 6,411 ",10.26
Northern Rio Arriba E Coop Inc,NM,Cooperative," 3,293 "," 1,807 "," 18,576 ",9.73
Otero County Electric Coop Inc,NM,Cooperative," 13,605 "," 8,432 "," 75,289 ",11.20
Public Service Co of NM,NM,Investor Owned," 353,255 "," 203,435 "," 2,397,946 ",8.48
Raton Public Service Company,NM,Publicly Owned," 3,767 "," 2,241 "," 23,807 ",9.41
"Rio Grande Electric Coop, Inc",NM,Cooperative, 240 , 179 ," 1,284 ",13.94
Roosevelt County Elec Coop Inc,NM,Cooperative," 3,460 "," 2,479 "," 39,148 ",6.33
"Sierra Electric Coop, Inc",NM,Cooperative," 3,305 "," 2,278 "," 18,449 ",12.35
"Socorro Electric Coop, Inc",NM,Cooperative," 10,675 "," 6,033 "," 61,745 ",9.77
Southwestern Electric Coop Inc,NM,Cooperative," 1,692 "," 3,103 "," 40,032 ",7.75
Southwestern Public Service Co,NM,Investor Owned," 84,705 "," 53,365 "," 864,732 ",6.17
"Springer Electric Coop, Inc",NM,Cooperative," 2,385 "," 1,474 "," 12,715 ",11.59
Springer Town of,NM,Publicly Owned, 696 , 294 ," 2,791 ",10.53
Texas-New Mexico Power Co,NM,Investor Owned," 41,206 "," 31,085 "," 240,977 ",12.90
"Tri-County Electric Coop, Inc",NM,Cooperative, 3 , 1 , 3 ,33.33
Bath Electric Gas & Water Sys,NY,Publicly Owned," 3,793 "," 1,915 "," 44,655 ",4.29
Central Hudson Gas & Elec Corp,NY,Investor Owned," 243,689 "," 205,551 "," 1,978,211 ",10.39
City of Plattsburgh,NY,Publicly Owned," 7,963 "," 5,988 "," 168,041 ",3.56
City of Salamanca,NY,Publicly Owned," 3,085 "," 1,524 "," 40,223 ",3.79
City of Sherrill,NY,Publicly Owned," 1,634 ", 756 ," 22,248 ",3.40
Consolidated Edison Co-NY Inc,NY,Investor Owned," 2,691,906 "," 2,410,109 "," 12,440,663 ",19.37
Delaware County Elec Coop Inc,NY,Cooperative," 4,848 "," 3,818 "," 42,020 ",9.09
Energetix,NY,Power Marketer," 38,343 "," 34,345 "," 338,493 ",10.15
Fishers Island Utility Co Inc,NY,Investor Owned, 671 , 962 ," 4,030 ",23.87
Jamestown Board of Public Util,NY,Publicly Owned," 16,787 "," 7,219 "," 157,894 ",4.57
"Lake Placid Village, Inc",NY,Publicly Owned," 3,610 "," 3,223 "," 73,440 ",4.39
Long Island Power Authority,NY,Publicly Owned," 967,606 "," 1,319,349 "," 8,997,588 ",14.66
Mohawk Municipal Comm,NY,Publicly Owned," 1,217 ", 506 ," 13,985 ",3.62
New York State Elec & Gas Corp,NY,Investor Owned," 708,149 "," 689,706 "," 5,574,081 ",12.37
Niagara Mohawk Power Corp,NY,Investor Owned," 1,357,582 "," 1,254,425 "," 10,232,341 ",12.26
"Oneida-Madison Elec Coop, Inc",NY,Cooperative," 1,758 "," 1,583 "," 18,948 ",8.35
Orange & Rockland Utils Inc,NY,Investor Owned," 131,739 "," 144,772 "," 1,038,020 ",13.95
"Otsego Electric Coop, Inc",NY,Cooperative," 3,982 "," 3,601 "," 41,294 ",8.72
Pennsylvania Electric Co,NY,Investor Owned," 3,334 "," 2,716 "," 28,838 ",9.42
Philadelphia Village of,NY,Publicly Owned, 633 , 340 ," 7,200 ",4.72
Rochester Gas and Electric Corporation,NY,Investor Owned," 278,996 "," 214,025 "," 1,996,897 ",10.72
"Steuben Rural Elec Coop, Inc",NY,Cooperative," 5,807 "," 5,167 "," 56,650 ",9.12
Town of Massena,NY,Publicly Owned," 8,002 "," 4,055 "," 99,251 ",4.09
Village of Akron,NY,Publicly Owned," 1,379 ", 698 ," 18,727 ",3.73
Village of Andover,NY,Publicly Owned, 493 , 257 ," 5,223 ",4.92
Village of Angelica,NY,Publicly Owned, 614 , 303 ," 6,099 ",4.97
Village of Arcade,NY,Publicly Owned," 3,401 "," 2,775 "," 70,392 ",3.94
Village of Bergen,NY,Publicly Owned, 575 , 545 ," 8,129 ",6.70
Village of Boonville,NY,Publicly Owned," 2,688 "," 1,501 "," 45,272 ",3.32
Village of Brocton,NY,Publicly Owned, 786 , 334 ," 9,449 ",3.53
Village of Castile,NY,Publicly Owned, 514 , 266 ," 5,944 ",4.48
Village of Churchville,NY,Publicly Owned, 771 , 539 ," 11,022 ",4.89
Village of Endicott,NY,Publicly Owned," 2,778 "," 1,158 "," 22,442 ",5.16
Village of Fairport,NY,Publicly Owned," 14,759 "," 8,788 "," 268,194 ",3.28
Village of Frankfort,NY,Publicly Owned," 1,498 ", 681 ," 14,492 ",4.70
Village of Freeport,NY,Publicly Owned," 13,058 "," 10,515 "," 117,929 ",8.92
Village of Green Island,NY,Publicly Owned," 1,422 ", 718 ," 9,301 ",7.72
Village of Greene,NY,Publicly Owned," 1,100 ", 695 ," 15,778 ",4.40
Village of Greenport,NY,Publicly Owned," 1,522 "," 1,211 "," 12,687 ",9.55
Village of Groton,NY,Publicly Owned, 910 , 706 ," 15,436 ",4.57
Village of Hamilton,NY,Publicly Owned," 1,203 ", 908 ," 22,092 ",4.11
Village of Holley,NY,Publicly Owned, 811 , 411 ," 10,980 ",3.74
Village of Ilion,NY,Publicly Owned," 3,459 "," 1,821 "," 40,091 ",4.54
Village of Little Valley,NY,Publicly Owned," 1,066 ", 664 ," 11,995 ",5.54
Village of Marathon,NY,Publicly Owned, 687 , 451 ," 11,289 ",4.00
Village of Mayville,NY,Publicly Owned, 889 , 948 ," 15,746 ",6.02
Village of Penn Yan,NY,Publicly Owned," 2,631 "," 1,324 "," 29,974 ",4.42
Village of Richmondville,NY,Publicly Owned, 873 , 565 ," 11,746 ",4.81
Village of Rockville Centre,NY,Publicly Owned," 8,932 "," 8,508 "," 92,217 ",9.23
Village of Rouses Point,NY,Publicly Owned," 1,108 ", 920 ," 25,281 ",3.64
Village of Sherburne,NY,Publicly Owned," 1,634 "," 1,240 "," 26,917 ",4.61
Village of Silver Springs,NY,Publicly Owned, 357 , 171 ," 3,206 ",5.33
Village of Skaneateles,NY,Publicly Owned," 1,215 ", 611 ," 14,500 ",4.21
Village of Solvay,NY,Publicly Owned," 4,602 "," 2,563 "," 62,469 ",4.10
Village of Spencerport,NY,Publicly Owned," 2,330 "," 1,590 "," 42,273 ",3.76
Village of Springville,NY,Publicly Owned," 2,079 "," 1,096 "," 25,929 ",4.23
Village of Theresa,NY,Publicly Owned, 402 , 285 ," 4,962 ",5.74
Village of Tupper Lake,NY,Publicly Owned," 2,994 "," 2,028 "," 55,345 ",3.66
Village of Watkins Glen,NY,Publicly Owned, 990 , 436 ," 10,093 ",4.32
Village of Wellsville,NY,Publicly Owned," 2,061 ", 752 ," 21,645 ",3.47
Village of Westfield,NY,Publicly Owned," 2,449 "," 1,493 "," 33,254 ",4.49
Albemarle Electric Member Corp,NC,Cooperative," 10,395 "," 12,164 "," 145,745 ",8.35
Belhaven Town of,NC,Publicly Owned, 907 ," 1,049 "," 8,647 ",12.13
Benson Town of,NC,Publicly Owned," 1,368 "," 1,690 "," 16,087 ",10.51
Blue Ridge Elec Member Corp,NC,Cooperative," 55,458 "," 56,515 "," 570,311 ",9.91
Blue Ridge Mountain E M C,NC,Cooperative," 11,353 "," 9,483 "," 119,692 ",7.92
"Broad River Electric Coop, Inc",NC,Cooperative, 359 , 451 ," 5,027 ",8.97
Brunswick Electric Member Corp,NC,Cooperative," 63,938 "," 77,357 "," 756,312 ",10.23
Cape Hatteras Elec Member Corp,NC,Cooperative," 5,565 "," 7,351 "," 76,827 ",9.57
Carolina Power & Light Co,NC,Investor Owned," 978,736 "," 1,088,100 "," 13,159,332 ",8.27
Carteret-Craven El Member Corp,NC,Cooperative," 30,563 "," 32,452 "," 388,564 ",8.35
Central Electric Membership Corporation,NC,Cooperative," 15,340 "," 21,347 "," 231,098 ",9.24
City of Albemarle,NC,Publicly Owned," 9,387 "," 10,898 "," 113,121 ",9.63
City of Cherryville,NC,Publicly Owned," 2,132 "," 2,175 "," 22,262 ",9.77
City of Cornelius,NC,Publicly Owned," 1,929 "," 1,829 "," 18,648 ",9.81
City of Elizabeth City,NC,Publicly Owned," 9,302 "," 13,226 "," 127,869 ",10.34
City of Gastonia,NC,Publicly Owned," 21,788 "," 21,402 "," 225,082 ",9.51
City of Highlands,NC,Publicly Owned," 2,274 "," 1,634 "," 20,486 ",7.98
City of Kings Mountain,NC,Publicly Owned," 3,984 "," 3,524 "," 42,177 ",8.36
City of Kinston,NC,Publicly Owned," 10,306 "," 14,672 "," 134,363 ",10.92
City of Laurinburg,NC,Publicly Owned," 4,678 "," 5,234 "," 51,439 ",10.18
City of Lexington,NC,Publicly Owned," 15,743 "," 18,416 "," 199,196 ",9.25
City of Monroe,NC,Publicly Owned," 7,904 "," 8,516 "," 94,756 ",8.99
City of Morganton,NC,Publicly Owned," 6,506 "," 5,934 "," 67,253 ",8.82
City of New Bern,NC,Publicly Owned," 14,978 "," 20,834 "," 210,922 ",9.88
City of Robersonville,NC,Publicly Owned," 1,050 "," 1,296 "," 11,091 ",11.69
City of Rocky Mount,NC,Publicly Owned," 26,122 "," 33,629 "," 297,532 ",11.30
City of Shelby,NC,Publicly Owned," 6,504 "," 5,875 "," 67,602 ",8.69
City of Southport,NC,Publicly Owned," 1,737 "," 2,448 "," 22,557 ",10.85
City of Statesville,NC,Publicly Owned," 10,258 "," 8,051 "," 101,375 ",7.94
City of Washington,NC,Publicly Owned," 10,463 "," 13,032 "," 127,310 ",10.24
City of Wilson,NC,Publicly Owned," 27,722 "," 37,501 "," 374,284 ",10.02
City of Winterville,NC,Publicly Owned," 2,001 "," 2,272 "," 24,739 ",9.18
Concord City of,NC,Publicly Owned," 21,110 "," 20,346 "," 260,784 ",7.80
Dallas Town of,NC,Publicly Owned," 2,519 "," 2,055 "," 26,199 ",7.84
Duke Energy Corporation,NC,Investor Owned," 1,421,565 "," 1,389,984 "," 18,385,089 ",7.56
Edgecombe-Martin County E M C,NC,Cooperative," 10,624 "," 14,772 "," 154,849 ",9.54
EnergyUnited Elec Member Corp,NC,Cooperative," 98,905 "," 114,363 "," 1,368,999 ",8.35
Four County Elec Member Corp,NC,Cooperative," 27,976 "," 38,915 "," 417,284 ",9.33
French Broad Elec Member Corp,NC,Cooperative," 30,323 "," 25,291 "," 253,163 ",9.99
Granite Falls Town of,NC,Publicly Owned," 1,970 "," 1,993 "," 21,420 ",9.30
Greenville Utilities Comm,NC,Publicly Owned," 45,986 "," 58,911 "," 585,987 ",10.05
Halifax Electric Member Corp,NC,Cooperative," 10,048 "," 12,124 "," 98,004 ",12.37
Harkers Island El Member Corp,NC,Cooperative," 1,164 "," 1,358 "," 12,606 ",10.77
Haywood Electric Member Corp,NC,Cooperative," 22,451 "," 21,550 "," 209,819 ",10.27
Hertford City of,NC,Publicly Owned," 1,026 "," 1,181 "," 10,000 ",11.81
Jones-Onslow Elec Member Corp,NC,Cooperative," 47,979 "," 58,476 "," 659,171 ",8.87
La Grange Town of,NC,Publicly Owned," 1,347 "," 1,893 "," 17,285 ",10.95
Landis Town of,NC,Publicly Owned," 2,308 "," 2,517 "," 28,271 ",8.90
Lincolnton City of,NC,Publicly Owned," 2,275 "," 1,929 "," 21,292 ",9.06
Lumbee River Elec Member Corp,NC,Cooperative," 44,397 "," 58,281 "," 719,782 ",8.10
Lumberton City of,NC,Publicly Owned," 7,779 "," 9,179 "," 88,546 ",10.37
Maiden Town of,NC,Publicly Owned, 845 , 911 ," 9,159 ",9.95
"Mecklenburg Electric Coop, Inc",NC,Cooperative, 100 , 117 ," 1,292 ",9.06
"Mountain Electric Coop, Inc",NC,Cooperative," 13,846 "," 10,330 "," 148,433 ",6.96
Murphy Town of,NC,Publicly Owned," 3,012 "," 2,833 "," 40,930 ",6.92
New River Light & Power Co,NC,Publicly Owned," 5,603 "," 3,974 "," 50,968 ",7.80
Newton City of,NC,Publicly Owned," 3,743 "," 3,558 "," 41,552 ",8.56
Pee Dee Electric Member Corp,NC,Cooperative," 19,411 "," 23,462 "," 260,823 ",9.00
Piedmont Electric Member Corp,NC,Cooperative," 25,821 "," 35,013 "," 359,833 ",9.73
Pitt & Greene Elec Member Corp,NC,Cooperative," 7,186 "," 10,733 "," 113,728 ",9.44
Public Works Comm-City of Fayetteville,NC,Publicly Owned," 62,999 "," 68,144 "," 850,900 ",8.01
Randolph Electric Member Corp,NC,Cooperative," 28,026 "," 35,504 "," 346,808 ",10.24
Red Springs Town of,NC,Publicly Owned," 1,458 "," 1,963 "," 16,368 ",11.99
Roanoke Electric Member Corp,NC,Cooperative," 13,553 "," 18,029 "," 188,959 ",9.54
Rutherford Elec Member Corp,NC,Cooperative," 58,175 "," 70,020 "," 794,565 ",8.81
Scotland Neck Town of,NC,Publicly Owned," 1,408 "," 1,609 "," 13,846 ",11.62
South River Elec Member Corp,NC,Cooperative," 36,205 "," 48,445 "," 559,327 ",8.66
Stantonsburg Town of,NC,Publicly Owned," 1,055 "," 1,074 "," 13,210 ",8.13
Surry-Yadkin Elec Member Corp,NC,Cooperative," 25,287 "," 28,510 "," 306,482 ",9.30
Tideland Electric Member Corp,NC,Cooperative," 18,526 "," 21,217 "," 212,211 ",10.00
Town of Apex,NC,Publicly Owned," 10,020 "," 10,507 "," 111,996 ",9.38
Town of Ayden,NC,Publicly Owned," 3,327 "," 4,621 "," 44,005 ",10.50
Town of Black Creek,NC,Publicly Owned, 623 , 695 ," 8,301 ",8.37
Town of Bostic,NC,Publicly Owned, 166 , 180 ," 2,331 ",7.72
Town of Clayton,NC,Publicly Owned," 3,573 "," 5,009 "," 42,985 ",11.65
Town of Drexel,NC,Publicly Owned," 1,172 "," 1,249 "," 14,377 ",8.69
Town of Edenton,NC,Publicly Owned," 3,265 "," 4,089 "," 40,886 ",10.00
Town of Enfield,NC,Publicly Owned," 1,171 "," 1,194 "," 11,954 ",9.99
Town of Farmville,NC,Publicly Owned," 2,472 "," 3,245 "," 28,522 ",11.38
Town of Forest City,NC,Publicly Owned," 3,332 "," 2,902 "," 37,675 ",7.70
Town of Fountain,NC,Publicly Owned, 284 , 399 ," 3,300 ",12.09
Town of Fremont,NC,Publicly Owned, 749 , 881 ," 8,631 ",10.21
Town of Hamilton,NC,Publicly Owned, 206 , 250 ," 2,254 ",11.09
Town of High Point,NC,Publicly Owned," 31,245 "," 32,942 "," 347,696 ",9.47
Town of Hobgood,NC,Publicly Owned, 319 , 336 ," 2,801 ",12.00
Town of Hookerton,NC,Publicly Owned, 324 , 454 ," 4,398 ",10.32
Town of Huntersville,NC,Publicly Owned," 3,153 "," 3,079 "," 36,792 ",8.37
Town of Louisburg,NC,Publicly Owned," 1,538 "," 1,893 "," 18,211 ",10.39
Town of Lucama,NC,Publicly Owned," 1,023 "," 1,144 "," 13,674 ",8.37
Town of MacClesfield,NC,Publicly Owned, 265 , 310 ," 2,779 ",11.16
Town of Oak City,NC,Publicly Owned, 235 , 292 ," 3,271 ",8.93
Town of Pikeville,NC,Publicly Owned, 446 , 620 ," 5,917 ",10.48
Town of Pinetops,NC,Publicly Owned, 653 , 693 ," 7,210 ",9.61
Town of Pineville,NC,Publicly Owned," 1,725 "," 1,487 "," 18,011 ",8.26
Town of Selma,NC,Publicly Owned," 2,294 "," 2,875 "," 26,575 ",10.82
Town of Sharpsburg,NC,Publicly Owned," 1,191 "," 1,335 "," 19,959 ",6.69
Town of Smithfield,NC,Publicly Owned," 3,384 "," 4,398 "," 42,267 ",10.41
Town of Tarboro,NC,Publicly Owned," 4,987 "," 5,973 "," 56,290 ",10.61
Town of Wake Forest,NC,Publicly Owned," 4,699 "," 5,571 "," 52,270 ",10.66
Town of Walstonburg,NC,Publicly Owned, 99 , 133 ," 1,303 ",10.21
Town of Waynesville,NC,Publicly Owned," 2,322 "," 1,814 "," 23,163 ",7.83
Town of Windsor,NC,Publicly Owned," 1,391 "," 1,816 "," 18,449 ",9.84
Tri-County Elec Member Corp,NC,Cooperative," 18,362 "," 23,232 "," 295,856 ",7.85
Tri-State Electric Member Corp,NC,Cooperative," 1,119 ", 885 ," 10,549 ",8.39
Union Electric Membership Corp,NC,Cooperative," 48,100 "," 60,122 "," 709,758 ",8.47
Virginia Electric & Power Co,NC,Investor Owned," 95,884 "," 122,326 "," 1,423,184 ",8.60
Wake Electric Membership Corp,NC,Cooperative," 24,591 "," 36,383 "," 351,517 ",10.35
Burke-Divide Electric Coop Inc,ND,Cooperative," 1,775 "," 1,610 "," 24,137 ",6.67
"Capital Electric Coop, Inc",ND,Cooperative," 10,404 "," 8,036 "," 108,883 ",7.38
Cass County Electric Coop Inc,ND,Cooperative," 22,350 "," 25,042 "," 391,322 ",6.40
"Cavalier Rural Elec Coop, Inc",ND,Cooperative," 1,345 "," 2,058 "," 29,713 ",6.93
City of Cavalier,ND,Publicly Owned, 721 , 482 ," 8,943 ",5.39
City of Hillsboro,ND,Publicly Owned," 1,017 ", 695 ," 16,123 ",4.31
City of Hope,ND,Publicly Owned, 165 , 186 ," 8,569 ",2.17
City of Lakota,ND,Publicly Owned, 415 , 296 ," 7,842 ",3.77
City of Maddock,ND,Publicly Owned, 289 , 401 ," 6,181 ",6.49
City of Northwood,ND,Publicly Owned, 472 , 418 ," 7,758 ",5.39
City of Park River,ND,Publicly Owned, 695 , 555 ," 9,877 ",5.62
City of Riverdale,ND,Publicly Owned, 177 , 97 ," 1,208 ",8.03
City of Sharon,ND,Publicly Owned, 60 , 44 , 871 ,5.05
City of Stanton,ND,Publicly Owned, 188 , 124 ," 2,242 ",5.53
City of Valley City,ND,Publicly Owned," 3,036 "," 1,861 "," 44,172 ",4.21
Dakota Valley Elec Coop Inc,ND,Cooperative," 5,005 "," 6,641 "," 91,115 ",7.29
"Goldenwest Electric Coop, Inc",ND,Cooperative, 566 , 461 ," 4,976 ",9.26
Grafton City of,ND,Publicly Owned," 1,913 "," 1,456 "," 24,467 ",5.95
KEM Electric Coop Inc,ND,Cooperative," 2,972 "," 3,199 "," 38,046 ",8.41
"Lower Yellowstone R E A, Inc",ND,Cooperative, 501 , 381 ," 6,397 ",5.96
McKenzie Electric Coop Inc,ND,Cooperative," 3,978 "," 2,555 "," 45,580 ",5.61
"McLean Electric Coop, Inc",ND,Cooperative," 2,709 "," 2,560 "," 33,029 ",7.75
MDU Resources Group Inc,ND,Investor Owned," 59,953 "," 35,738 "," 523,351 ",6.83
Mor-Gran-Sou Electric Coop Inc,ND,Cooperative," 6,035 "," 5,463 "," 67,892 ",8.05
Mountrail-Williams Elec Coop,ND,Cooperative," 5,621 "," 4,964 "," 72,858 ",6.81
Nodak Electric Coop Inc,ND,Cooperative," 15,394 "," 20,713 "," 329,860 ",6.28
"North Central Elec Coop, Inc",ND,Cooperative," 5,656 "," 5,624 "," 93,180 ",6.04
Northern Plains Electric Coop,ND,Cooperative," 9,187 "," 11,189 "," 175,650 ",6.37
Northern States Power Co,ND,Investor Owned," 73,333 "," 46,571 "," 745,836 ",6.24
Oliver-Mercer Elec Coop Inc,ND,Cooperative," 3,341 "," 2,616 "," 44,458 ",5.88
Otter Tail Power Co,ND,Investor Owned," 44,232 "," 34,088 "," 527,298 ",6.46
"Sheridan Electric Coop, Inc",ND,Cooperative, 250 , 194 ," 2,735 ",7.09
Slope Electric Coop Inc,ND,Cooperative," 1,883 "," 2,158 "," 32,408 ",6.66
"Traverse Electric Coop, Inc",ND,Cooperative, 19 , 29 , 380 ,7.63
Verendrye Electric Coop Inc,ND,Cooperative," 8,943 "," 8,535 "," 118,258 ",7.22
West Plains Electric Coop Inc,ND,Cooperative," 4,293 "," 3,556 "," 61,821 ",5.75
"Adams Rural Electric Coop, Inc",OH,Cooperative," 7,612 "," 7,995 "," 88,766 ",9.01
Arcanum City of,OH,Publicly Owned," 1,435 "," 1,233 "," 15,794 ",7.81
Bradner Village of,OH,Publicly Owned, 508 , 332 ," 4,180 ",7.94
"Buckeye Rural Elec Coop, Inc",OH,Cooperative," 18,022 "," 22,331 "," 231,278 ",9.66
Butler Rural Electric Coop Inc,OH,Cooperative," 9,948 "," 15,917 "," 170,154 ",9.35
"Carroll Electric Coop, Inc",OH,Cooperative," 9,940 "," 9,346 "," 125,403 ",7.45
Celina City of,OH,Publicly Owned," 6,390 "," 4,316 "," 66,583 ",6.48
Cincinnati Gas & Electric Company,OH,Investor Owned," 570,819 "," 505,500 "," 6,736,891 ",7.50
City of Amherst,OH,Publicly Owned," 5,020 "," 3,583 "," 54,220 ",6.61
City of Bowling Green,OH,Publicly Owned," 11,710 "," 6,087 "," 90,702 ",6.71
City of Bryan,OH,Publicly Owned," 4,983 "," 3,136 "," 48,570 ",6.46
City of Cleveland,OH,Publicly Owned," 71,867 "," 42,710 "," 406,893 ",10.50
City of Columbus,OH,Publicly Owned," 9,589 "," 5,303 "," 61,651 ",8.60
City of Custar,OH,Publicly Owned, 120 , 68 , 935 ,7.27
City of Cuyahoga Falls,OH,Publicly Owned," 21,920 "," 11,910 "," 156,200 ",7.62
City of Dover,OH,Publicly Owned," 5,635 "," 3,807 "," 52,850 ",7.20
City of Galion,OH,Publicly Owned," 6,112 "," 4,095 "," 50,524 ",8.11
City of Hamilton,OH,Publicly Owned," 24,609 "," 20,410 "," 240,228 ",8.50
City of Hubbard,OH,Publicly Owned," 3,424 "," 2,153 "," 26,977 ",7.98
City of Hudson,OH,Publicly Owned," 5,656 "," 8,023 "," 89,946 ",8.92
City of Lebanon,OH,Publicly Owned," 7,190 "," 5,986 "," 75,510 ",7.93
City of Mendon,OH,Publicly Owned, 303 , 219 ," 3,823 ",5.73
City of Napoleon,OH,Publicly Owned," 5,054 "," 3,714 "," 47,679 ",7.79
City of Newton Falls,OH,Publicly Owned," 2,235 "," 1,435 "," 16,934 ",8.47
City of Niles,OH,Publicly Owned," 10,456 "," 5,656 "," 81,487 ",6.94
City of Oberlin,OH,Publicly Owned," 2,657 "," 1,681 "," 20,100 ",8.36
City of Orrville,OH,Publicly Owned," 5,880 "," 4,551 "," 69,499 ",6.55
City of Painesville,OH,Publicly Owned," 9,011 "," 6,466 "," 68,869 ",9.39
City of Piqua,OH,Publicly Owned," 9,442 "," 5,392 "," 86,476 ",6.24
City of Shelby,OH,Publicly Owned," 4,998 "," 3,486 "," 47,310 ",7.37
City of St Clairsville,OH,Publicly Owned," 2,487 "," 1,476 "," 26,618 ",5.55
City of St Marys,OH,Publicly Owned," 3,516 "," 2,393 "," 33,422 ",7.16
City of Tipp City,OH,Publicly Owned," 5,046 "," 2,990 "," 43,941 ",6.80
City of Wadsworth,OH,Publicly Owned," 9,830 "," 7,576 "," 91,378 ",8.29
City of Wapakoneta,OH,Publicly Owned," 4,518 "," 2,364 "," 47,659 ",4.96
City of Westerville,OH,Publicly Owned," 13,279 "," 9,642 "," 178,674 ",5.40
City of Woodsfield,OH,Publicly Owned," 1,332 ", 593 ," 8,547 ",6.94
Cleveland Electric Illum Co,OH,Investor Owned," 250,272 "," 190,044 "," 1,861,244 ",10.21
Clyde Light & Power,OH,Publicly Owned," 2,490 "," 1,499 "," 21,051 ",7.12
Columbiana City of,OH,Publicly Owned," 3,097 "," 3,112 "," 37,296 ",8.34
Columbus Southern Power Co,OH,Investor Owned," 619,520 "," 509,919 "," 6,735,021 ",7.57
Consolidated Electric Coop Inc,OH,Cooperative," 13,246 "," 15,838 "," 208,608 ",7.59
"Darke Rural Electric Coop, Inc",OH,Cooperative," 4,816 "," 5,649 "," 84,197 ",6.71
Dayton Power & Light Co,OH,Investor Owned," 449,689 "," 366,149 "," 5,070,736 ",7.22
